player,elo,matches_played,reliability_score
Daescu A.,6.552852426078881,80,40.82
Klinger C.,6.532597517590833,44,22.45
Staksrud F.,6.517456270425987,184,93.88
Patriquin H.,6.494848266968722,124,63.27
Johnson J.,6.481169700717119,154,78.57
Johns B.,6.469480468409182,152,77.55
Bar D.,6.444994695457267,145,73.98
Alshon C.,6.414248407467224,130,66.33
Tardio G.,6.376207314127563,112,57.14
McGuffin T.,6.362306131699067,127,64.8
Duong Q.,6.3591943046541815,49,25.0
Garnett C.,6.356275678426488,114,58.16
Frazier D.,6.34183908751311,166,84.69
Tellez P.,6.318658918683781,176,89.8
Wright M.,6.315300523574138,150,76.53
Arnold J.,6.311478449474531,120,61.22
Newman R.,6.306478907895473,132,67.35
Navratil Z.,6.287110149887685,91,46.43
Hewett R.,6.272291477433246,119,60.71
Lange E.,6.267475633841073,43,21.94
Munro J.,6.266453333303509,23,11.73
Johns C.,6.264373383270021,165,84.18
Oncins E.,6.235657380683455,15,7.65
Wilson T.,6.23355496673652,88,44.9
Devilliers J.,6.231234444098354,111,56.63
Loong T.,6.22891216507,128,65.31
Hovenier B.,6.218775880721512,41,20.92
Rettenmaier T.,6.216905376095979,90,45.92
Slutsky R.,6.2151185418239345,11,5.61
Johnson H.,6.210678597911146,43,21.94
Young D.,6.208414403768641,145,73.98
Goldin G.,6.2061059449731735,14,7.14
Howells W.,6.205942943533931,12,6.12
De La Rosa D.,6.202321568690542,64,32.65
Ignatowich J.,6.1901593565426225,142,72.45
Kawka P.,6.189415751683251,47,23.98
Dayan K.,6.188012054499019,11,5.61
Ge A.,6.18060571908491,53,27.04
Emmrich M.,6.178883166695078,52,26.53
Freeman M.,6.177934936475449,14,7.14
Black N.,6.176012346048625,14,7.14
Long B.,6.169007963865316,26,13.27
Shick C.,6.159612277192346,51,26.02
Tchikatilov A.,6.155698013100175,12,6.12
Cassidy R.,6.155569388728553,58,29.59
Gridley A.,6.154081768424551,6,3.06
Fought T.,6.150842471314507,79,40.31
Auvergne S.,6.145494211139984,16,8.16
Krishnaswamy S.,6.143791184278566,4,2.04
Smith P.,6.140647558750047,76,38.78
Taylor C.,6.135372501094333,46,23.47
Smith S.,6.1346123742084995,93,47.45
Jakovljevic I.,6.1327960232665575,47,23.98
Bellamy R.,6.130865965402709,38,19.39
Brown M.,6.1305624624624695,56,28.57
Vich J.,6.127647634648622,98,50.0
Diamond C.,6.1272908124072565,31,15.82
Koller A.,6.12554351317642,104,53.06
Lohani A.,6.119453332235271,34,17.35
Kojima B.,6.113878913077702,7,3.57
Nunnery R.,6.112140226867909,17,8.67
