tournament,round,date,team1_player1,team1_player2,team2_player1,team2_player2,team1_sets,team2_sets
2023 PPA Desert Ridge Open,Finals,2023-02-05,Johns C.,Johns B.,Wright M.,Newman R.,2,1
2023 PPA Desert Ridge Open,Bronze Medal Match,2023-02-05,Johnson J.,Frazier D.,Dawson C.,Loong T.,2,0
2023 PPA Desert Ridge Open,Semi-Finals,2023-02-05,Wright M.,Newman R.,Dawson C.,Loong T.,2,0
2023 PPA Desert Ridge Open,Semi-Finals,2023-02-05,Johns C.,Johns B.,Johnson J.,Frazier D.,2,0
2023 PPA Desert Ridge Open,Quarter Finals,2023-02-05,Dawson C.,Loong T.,Arnold J.,Wilson T.,2,0
2023 PPA Desert Ridge Open,Quarter Finals,2023-02-05,Wright M.,Newman R.,Tellez P.,Staksrud F.,2,0
2023 PPA Desert Ridge Open,Quarter Finals,2023-02-05,Johns C.,Johns B.,Devilliers J.,Young D.,2,0
2023 PPA Desert Ridge Open,Quarter Finals,2023-02-05,Johnson J.,Frazier D.,Koller A.,Lange E.,2,0
2023 PPA Desert Ridge Open,Round 16,2023-02-05,Arnold J.,Wilson T.,Alshon C.,Smith S.,2,0
2023 PPA Desert Ridge Open,Round 16,2023-02-05,Venkatesan M.,Keenum C.,Tellez P.,Staksrud F.,0,2
2023 PPA Desert Ridge Open,Round 16,2023-02-05,Wright M.,Newman R.,Teoni P.,Heddings K.,2,0
2023 PPA Desert Ridge Open,Round 16,2023-02-05,Koller A.,Lange E.,Ignatowich J.,Navratil Z.,2,0
2023 PPA Desert Ridge Open,Round 16,2023-02-05,Johnson J.,Frazier D.,Garnett C.,Burrows W.,2,0
2023 PPA Desert Ridge Open,Round 16,2023-02-05,Devilliers J.,Young D.,Stone W.,Newell B.,2,0
2023 PPA Desert Ridge Open,Round 16,2023-02-05,Dawson C.,Loong T.,Rettenmaier T.,Doerner S.,2,1
2023 PPA Desert Ridge Open,Round 16,2023-02-05,Johns C.,Johns B.,Tardio G.,Hewett R.,2,1
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Alshon C.,Smith S.,Kusmider J.,Scarpa A.,2,0
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Arnold J.,Wilson T.,Enright M.,Guyer D.,2,0
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Rettenmaier T.,Doerner S.,Markowitz E.,Lewis K.,2,0
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Dawson C.,Loong T.,Read A.,Galli S.,2,0
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Teoni P.,Heddings K.,Cassidy R.,Sherry R.,2,1
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Wright M.,Newman R.,Finley R.,Prince J.,2,0
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Ignatowich J.,Navratil Z.,Shearer D.,Bond G.,2,0
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Koller A.,Lange E.,Koszuta K.,Loyd M.,2,0
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Garnett C.,Burrows W.,Johnson C.,Nemoff C.,2,0
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Johnson J.,Frazier D.,Lanier S.,Whitehead G.,2,0
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Devilliers J.,Young D.,Locklear P.,Oxler J.,2,1
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Deakin S.,Chapman B.,Tardio G.,Hewett R.,0,2
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Johns C.,Johns B.,Montoya N.,Legarreta A.,2,0
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Barrientos M.,Neumann A.,Tellez P.,Staksrud F.,0,2
2023 PPA Desert Ridge Open,Round 32,2023-02-05,Stone W.,Newell B.,Forsythe E.,Yaraghi A.,2,1
2023 PPA Desert Ridge Open,Consolation Bracket Finals,2023-02-05,Koller A.,Lange E.,Arnold J.,Wilson T.,0,1
2023 PPA Desert Ridge Open,Consolation Bracket Semi-Finals,2023-02-05,Tellez P.,Staksrud F.,Arnold J.,Wilson T.,0,1
2023 PPA Desert Ridge Open,Consolation Bracket Semi-Finals,2023-02-05,Devilliers J.,Young D.,Koller A.,Lange E.,0,1
2023 PPA Desert Ridge Open,Consolation Bracket Quarter Finals,2023-02-05,Tellez P.,Staksrud F.,Stone W.,Newell B.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Quarter Finals,2023-02-05,Koller A.,Lange E.,Alshon C.,Smith S.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Quarter Finals,2023-02-05,Devilliers J.,Young D.,Teoni P.,Heddings K.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Quarter Finals,2023-02-05,Arnold J.,Wilson T.,Ignatowich J.,Navratil Z.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 16,2023-02-05,Garnett C.,Burrows W.,Ignatowich J.,Navratil Z.,0,1
2023 PPA Desert Ridge Open,Consolation Bracket Round 16,2023-02-05,Cassidy R.,Sherry R.,Stone W.,Newell B.,0,1
2023 PPA Desert Ridge Open,Consolation Bracket Round 16,2023-02-05,Teoni P.,Heddings K.,Venkatesan M.,Keenum C.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 16,2023-02-05,Rettenmaier T.,Doerner S.,Alshon C.,Smith S.,0,1
2023 PPA Desert Ridge Open,Consolation Bracket Round 32,2023-02-05,Ignatowich J.,Navratil Z.,Kusmider J.,Scarpa A.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 32,2023-02-05,Garnett C.,Burrows W.,Read A.,Galli S.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 32,2023-02-05,Stone W.,Newell B.,Barrientos M.,Neumann A.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 32,2023-02-05,Tardio G.,Hewett R.,Cassidy R.,Sherry R.,0,1
2023 PPA Desert Ridge Open,Consolation Bracket Round 32,2023-02-05,Rettenmaier T.,Doerner S.,Lanier S.,Whitehead G.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 32,2023-02-05,Venkatesan M.,Keenum C.,Locklear P.,Oxler J.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 32,2023-02-05,Teoni P.,Heddings K.,Montoya N.,Legarreta A.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 32,2023-02-05,Alshon C.,Smith S.,Koszuta K.,Loyd M.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 64,2023-02-05,Enright M.,Guyer D.,Kusmider J.,Scarpa A.,0,1
2023 PPA Desert Ridge Open,Consolation Bracket Round 64,2023-02-05,Finley R.,Prince J.,Cassidy R.,Sherry R.,0,1
2023 PPA Desert Ridge Open,Consolation Bracket Round 64,2023-02-05,Koszuta K.,Loyd M.,Shearer D.,Bond G.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 64,2023-02-05,Lanier S.,Whitehead G.,Johnson C.,Nemoff C.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 64,2023-02-05,Locklear P.,Oxler J.,Forsythe E.,Yaraghi A.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 64,2023-02-05,Read A.,Galli S.,Markowitz E.,Lewis K.,1,0
2023 PPA Desert Ridge Open,Consolation Bracket Round 64,2023-02-05,Montoya N.,Legarreta A.,Deakin S.,Chapman B.,1,0
2023 PPA Hyundai Masters,Finals,2023-01-15,Johns C.,Johns B.,Wright M.,Newman R.,2,1
2023 PPA Hyundai Masters,Semi-Finals,2023-01-15,Devilliers J.,Young D.,Wright M.,Newman R.,0,2
2023 PPA Hyundai Masters,Semi-Finals,2023-01-15,Johns C.,Johns B.,Johnson J.,Frazier D.,2,1
2023 PPA Hyundai Masters,Quarter Finals,2023-01-15,Navratil Z.,Wilson T.,Wright M.,Newman R.,1,2
2023 PPA Hyundai Masters,Quarter Finals,2023-01-15,Dawson C.,Loong T.,Devilliers J.,Young D.,0,2
2023 PPA Hyundai Masters,Quarter Finals,2023-01-15,Johnson J.,Frazier D.,Ignatowich J.,McGuffin T.,2,1
2023 PPA Hyundai Masters,Quarter Finals,2023-01-15,Johns C.,Johns B.,Smith P.,Deakin S.,2,0
2023 PPA Hyundai Masters,Round 16,2023-01-15,Navratil Z.,Wilson T.,Link G.,Doerner S.,2,0
2023 PPA Hyundai Masters,Round 16,2023-01-15,Patriquin H.,Tardio G.,Devilliers J.,Young D.,0,2
2023 PPA Hyundai Masters,Round 16,2023-01-15,Dawson C.,Loong T.,Arnold J.,Hewett R.,2,1
2023 PPA Hyundai Masters,Round 16,2023-01-15,Tellez P.,Staksrud F.,Ignatowich J.,McGuffin T.,1,2
2023 PPA Hyundai Masters,Round 16,2023-01-15,Johnson J.,Frazier D.,Alshon C.,Smith S.,2,0
2023 PPA Hyundai Masters,Round 16,2023-01-15,Johns C.,Johns B.,De La Rosa D.,Newell B.,2,0
2023 PPA Hyundai Masters,Round 16,2023-01-15,Teoni P.,Heddings K.,Wright M.,Newman R.,0,2
