player1,player2,pair_elo,matches_together
Frazier D.,Johnson J.,6.769693956107237,149
Johns B.,Johns C.,6.576075539887396,144
Staksrud F.,Tellez P.,6.509943651739303,126
Newman R.,Wright M.,6.544475227585387,49
Ignatowich J.,McGuffin T.,6.425741704400586,46
Bar D.,McGuffin T.,6.327947196537223,35
Daescu A.,Tardio G.,6.318630900597247,35
Arnold J.,Wilson T.,6.3881322972262735,34
Dawson C.,Patriquin H.,6.326543191055618,34
Devilliers J.,Young D.,6.040574923067475,34
Dow G.,Scarpa A.,5.904314924084319,33
Alshon C.,Hewett R.,6.224803006680031,31
De La Rosa D.,Emmrich M.,6.186034376534053,31
Johnson C.,Teoni P.,6.039505151697476,29
Dawson C.,Loong T.,6.164294400527091,28
Fought T.,Smith S.,5.859774497129064,28
Ignatowich J.,Wright M.,6.17387169508288,27
Garnett C.,Loong T.,6.326501523304746,26
Devilliers J.,Smith P.,6.293852440330489,26
McGuffin T.,Vich J.,6.135998121225794,26
Shick C.,Sock J.,6.170714599489255,26
Staksrud F.,Wright M.,6.294801705735445,23
De La Rosa D.,Newell B.,5.977920708334636,23
Bar D.,Dawson C.,6.184017810046704,22
Patriquin H.,Staksrud F.,6.659491601288506,20
Newman R.,Wilson T.,6.3047691116011695,19
Tamaki K.,Vich J.,6.050693425716133,19
Johnson H.,Johnson Y.,6.153383355979891,18
Alshon C.,Garnett C.,6.389397193374931,17
Koller A.,Lange E.,6.144381811588428,17
Bar D.,Koller A.,6.07618853219156,17
Alhouni M.,Alhouni M.,5.9031982404287096,17
Hewett R.,Navratil Z.,6.112354868778631,16
Patriquin H.,Tellez P.,6.369575313689123,16
Navratil Z.,Young D.,6.174442441724442,15
Garnett C.,Tardio G.,6.271624675504819,15
Navratil Z.,Rettenmaier T.,6.330181710210585,15
Smith S.,Taylor C.,6.12840400833958,14
Deakin S.,Jakovljevic I.,6.067600708365874,14
Arnold J.,Munro J.,6.360715877189572,13
Klinger C.,Vich J.,6.261487060102276,13
Fought T.,Stone W.,6.0526169067081605,13
Daescu A.,Devilliers J.,6.2637379654984136,13
Burrows W.,Querrey S.,5.972477073605126,13
Bar D.,Tellez P.,6.309647965503694,13
Johnson C.,Koszuta K.,5.853635898575031,13
Cassidy R.,Nemoff C.,6.053542016255073,13
Kawka P.,Teoni P.,6.0148167081907955,12
Loong T.,Young D.,6.303700207130687,12
Ge A.,Johnson C.,6.2881834858003565,12
French B.,Jakovljevic I.,5.983967864087217,12
Koller A.,Newman R.,6.213772977745212,11
Deakin S.,Rettenmaier T.,6.10656422813496,11
Stone W.,Vich J.,6.21101643170996,11
Hewett R.,Johnson H.,6.2432065068687645,11
Alshon C.,Navratil Z.,6.259592534179117,11
Alshon C.,Smith S.,6.011036060858303,11
Long B.,McGuffin T.,6.326685564212645,11
Ignatowich J.,Loong T.,6.213837833017961,11
Hong T.,Lee S.,5.978034149092386,10
Ali R.,Vich J.,6.053473742780105,10
Alshon C.,Newman R.,6.340913299218883,10
Finley R.,Kawka P.,6.010508641249495,10
Daescu A.,Ignatowich J.,6.309136401235718,10
Barrientos M.,Whitehead G.,5.984177759553867,10
Brown M.,Lane B.,6.043999632144407,10
Fought T.,Loong T.,6.102913479506148,9
Koller A.,Rettenmaier T.,6.138391604319548,9
Diamond C.,Roddy E.,6.071450795233321,9
Bellamy R.,Koller A.,6.22833171374501,9
Bar D.,Young D.,6.230766680932308,9
Smith P.,Stone W.,6.040659508562184,9
Koszuta K.,Loyd M.,5.906750861141866,8
Deakin S.,Shick C.,6.12015068117688,8
