player,elo,matches_played,reliability_score
Waters A.,6.7524166255748,206,75.74
Kawamoto J.,6.684316777745624,214,78.68
Black H.,6.642200733549151,186,68.38
Rohrabacher R.,6.553719691110268,154,56.62
Parenteau C.,6.545863815892998,201,73.9
Bright A.,6.5178152453937575,236,86.76
Johnson J.,6.475244016959063,156,57.35
Buckner B.,6.466560972310525,111,40.81
Christian K.,6.4478238650021416,68,25.0
Tuionetoa E.,6.44624676471409,159,58.46
Todd P.,6.420748376731513,115,42.28
Pisnik T.,6.417087870658479,142,52.21
Fahey K.,6.406293323465195,61,22.43
Irvine J.,6.38700155648496,151,55.51
Schneemann L.,6.384577478730268,149,54.78
Brascia M.,6.3388927836859015,267,98.16
Jansen L.,6.325519398154543,172,63.24
Wang C.,6.322825318993901,68,25.0
Humberg M.,6.3226835619014325,65,23.9
Glozman V.,6.322458588371981,59,21.69
Dizon M.,6.3049457310171,164,60.29
Jones A.,6.29460182126432,147,54.04
David V.,6.293321474103013,122,44.85
Kovalova L.,6.276886887976274,157,57.72
Smith C.,6.265665988962754,161,59.19
Phillips A.,6.255989264106086,61,22.43
Long Y.,6.246455752002842,8,2.94
Wei T.,6.243239279571374,9,3.31
Walker A.,6.232325919938673,141,51.84
Newell Y.,6.213718174133032,73,26.84
Rane M.,6.208449694174302,77,28.31
Padegimaite L.,6.195160835400588,104,38.24
Valdes R.,6.194171909426656,35,12.87
Erokhina G.,6.179717186492357,78,28.68
Sewing S.,6.172749471452966,8,2.94
Koop A.,6.16444346404743,83,30.51
Radzikowska E.,6.161420129589128,57,20.96
Braverman J.,6.147551200626355,48,17.65
Gecheva C.,6.137185299602259,71,26.1
Sleeth L.,6.1323437551563105,45,16.54
Waters L.,6.131479986348306,5,1.84
Igleski C.,6.128088418157889,17,6.25
Oshiro B.,6.125978980416223,45,16.54
Schulte M.,6.124786980178694,28,10.29
Stratman L.,6.123902897948355,125,45.96
Maddox C.,6.122122388108704,13,4.78
Reichert A.,6.121776764803237,6,2.21
Walczak D.,6.112194603297377,9,3.31
Esquivel M.,6.103649352715825,44,16.18
Candelaria A.,6.098020866664364,5,1.84
Banada A.,6.09550400031065,16,5.88
Kunimoto K.,6.08724564203371,6,2.21
Huynh-McClain T.,6.084548989654813,16,5.88
Frantova M.,6.0845455256372984,45,16.54
Schaefer D.,6.081214392082367,44,16.18
Lutz M.,6.07895653671376,6,2.21
Fife H.,6.077170194116583,3,1.1
Parker S.,6.07486141863222,25,9.19
Barr S.,6.074420881842787,16,5.88
Nelson A.,6.071468743221427,5,1.84
Truong A.,6.0702199659168325,52,19.12
Bui J.,6.069725040665362,4,1.47
Truluck L.,6.067596314681004,49,18.01
Lewis C.,6.066060796158064,3,1.1
Ansboury S.,6.0640285716111935,52,19.12
Nguyen T.,6.061821195500395,3,1.1
Hendry A.,6.060525623310706,9,3.31
Klokotzky M.,6.060075598098414,4,1.47
Luque F.,6.056460693013195,2,0.74
Morelli G.,6.055353300376016,4,1.47
Rettger R.,6.055264491426875,53,19.49
Grambeau K.,6.052942694581557,12,4.41
Elpusan T.,6.052199785470232,5,1.84
Tereschenko I.,6.051680597879164,75,27.57
James R.,6.050803097421764,11,4.04
Dunlap I.,6.050480271691325,2,0.74
Kong D.,6.048927286550759,6,2.21
Chin C.,6.046713604699385,4,1.47
Rogers B.,6.044689464516131,3,1.1
Rodriguez A.,6.044008625855601,8,2.94
Tam H.,6.0415667204642345,2,0.74
Ticknor S.,6.041061517436348,4,1.47
Conard N.,6.0397970171455375,11,4.04
Clemmer K.,6.038816427673578,2,0.74
Piekarski M.,6.038402675758021,4,1.47
Chuang A.,6.0375706067006165,6,2.21
