tournament,round,date,team1_player1,team1_player2,team2_player1,team2_player2,team1_sets,team2_sets
2023 PPA Hyundai Masters,Finals,2023-01-15,Kovalova L.,Smith C.,Waters A.,Bright A.,0,2
2023 PPA Hyundai Masters,Semi-Finals,2023-01-15,Waters A.,Bright A.,Tereschenko I.,Irvine J.,2,0
2023 PPA Hyundai Masters,Semi-Finals,2023-01-15,Kovalova L.,Smith C.,Newell Y.,Parenteau C.,2,1
2023 PPA Hyundai Masters,Quarter Finals,2023-01-15,Tereschenko I.,Irvine J.,Tuionetoa E.,Schneemann L.,2,1
2023 PPA Hyundai Masters,Quarter Finals,2023-01-15,Waters A.,Bright A.,Newman L.,Esquivel M.,2,0
2023 PPA Hyundai Masters,Quarter Finals,2023-01-15,Newell Y.,Parenteau C.,Brascia M.,Brascia M.,2,0
2023 PPA Hyundai Masters,Quarter Finals,2023-01-15,Jansen L.,Jones A.,Kovalova L.,Smith C.,0,2
2023 PPA Hyundai Masters,Round 16,2023-01-15,Tuionetoa E.,Schneemann L.,Ackerman E.,Gaytan-Leach C.,2,1
2023 PPA Hyundai Masters,Round 16,2023-01-15,Tereschenko I.,Irvine J.,mcintosh c.,Klett J.,2,0
2023 PPA Hyundai Masters,Round 16,2023-01-15,Dizon M.,Buckner B.,Newman L.,Esquivel M.,0,2
2023 PPA Hyundai Masters,Round 16,2023-01-15,Waters A.,Bright A.,Goldberg R.,Gecheva C.,2,0
2023 PPA Hyundai Masters,Round 16,2023-01-15,Johnson J.,David V.,Brascia M.,Brascia M.,1,2
2023 PPA Hyundai Masters,Round 16,2023-01-15,Newell Y.,Parenteau C.,McMillan O.,Ansboury S.,2,0
2023 PPA Hyundai Masters,Round 16,2023-01-15,Kovalova L.,Smith C.,Erokhina G.,Stepien C.,2,0
2023 PPA Hyundai Masters,Round 32,2023-01-15,Ackerman E.,Gaytan-Leach C.,Improta J.,Zalinski C.,2,0
2023 PPA Hyundai Masters,Round 32,2023-01-15,mcintosh c.,Klett J.,Schaefer D.,Hance K.,2,0
2023 PPA Hyundai Masters,Round 32,2023-01-15,Newman L.,Esquivel M.,Curiel l.,Kordic L.,2,0
2023 PPA Hyundai Masters,Round 32,2023-01-15,Goldberg R.,Gecheva C.,Tichenor A.,Li M.,2,0
