player1,player2,pair_elo,matches_together
Bright A.,Rohrabacher R.,6.678246606944932,107
Black H.,Todd P.,6.566982655014211,52
Parenteau C.,Rohrabacher R.,6.566502097787653,10
Kawamoto J.,Kawamoto J.,6.557337683060688,35
Johnson J.,Rohrabacher R.,6.555663452273814,10
Buckner B.,Wang C.,6.52197971655815,50
Parenteau C.,Waters A.,6.51933889483189,150
Bright A.,Kawamoto J.,6.507665206391186,5
Bright A.,Waters A.,6.497857929256074,51
Humberg M.,Johnson J.,6.490984268908383,25
Johnson J.,Kawamoto J.,6.488568707319438,3
David V.,Kawamoto J.,6.480007162032499,15
Waters A.,Waters L.,6.467365774609802,5
Kawamoto J.,Parenteau C.,6.464982865829414,4
Fahey K.,Pisnik T.,6.462803653197785,35
Rohrabacher R.,Todd P.,6.46236645530397,4
Smith C.,Tuionetoa E.,6.460333893116402,5
Glozman V.,Johnson J.,6.434649562188945,15
Pisnik T.,Todd P.,6.426561345329606,3
Black H.,Jones A.,6.425197080217665,34
Buckner B.,Jansen L.,6.414540533622255,4
Jansen L.,Rohrabacher R.,6.410824247842097,3
Dizon M.,Tuionetoa E.,6.409782919453986,78
Jansen L.,Kovalova L.,6.40192411889736,32
Humberg M.,Kawamoto J.,6.401473210358876,3
Johnson J.,Todd P.,6.399760183819299,3
Kawamoto J.,Tuionetoa E.,6.3963526037611205,2
Jansen L.,Pisnik T.,6.393755685222546,22
Parenteau C.,Todd P.,6.392071734022223,17
Glozman V.,Kawamoto J.,6.386377983232242,5
Schneemann L.,Todd P.,6.386006864067854,5
Bright A.,Pisnik T.,6.384892495708173,5
Christian K.,Gecheva C.,6.383236617177409,11
Humberg M.,Irvine J.,6.374345652019242,7
Brascia M.,Brascia M.,6.37111396541171,125
Pisnik T.,Tuionetoa E.,6.366050979583625,2
Jones A.,Pisnik T.,6.364053376807754,5
David V.,Schneemann L.,6.363208852507329,20
Kovalova L.,Tuionetoa E.,6.3522948626389795,3
Dizon M.,Kovalova L.,6.352161659680619,5
Kawamoto J.,Koop A.,6.346453731549243,22
Jones A.,Tuionetoa E.,6.345600701969171,14
Kawamoto J.,Todd P.,6.345020405788774,3
Irvine J.,Smith C.,6.344460721847644,4
Black H.,Irvine J.,6.343878914849798,6
Bright A.,Smith C.,6.342165888483945,5
Fahey K.,Jansen L.,6.3311792277561425,3
Newell Y.,Stratman L.,6.327232170070644,27
Humberg M.,Kovalova L.,6.326902675734569,2
Humberg M.,Jansen L.,6.325759691784912,3
Dizon M.,Jones A.,6.321794971468197,3
Dizon M.,Humberg M.,6.317328115847796,8
Jansen L.,Smith C.,6.316070396096197,12
Dizon M.,Jansen L.,6.314524873448532,2
Irvine J.,Jones A.,6.310425421544602,3
David V.,Humberg M.,6.30846526835294,2
Truong A.,Tuionetoa E.,6.306472075229052,2
Humberg M.,Jones A.,6.306030727708062,2
Fahey K.,Koop A.,6.305427207174421,3
Black H.,Bright A.,6.305098683931279,4
Glozman V.,Schneemann L.,6.303493445563166,15
Long Y.,Wei T.,6.302113669666776,8
Irvine J.,Kawamoto J.,6.295062554507764,23
Koop A.,Smith C.,6.293144939717226,2
Bright A.,Fahey K.,6.291829630175784,5
Jansen L.,Koop A.,6.288654088182367,3
Bright A.,Dizon M.,6.283000695902513,7
Dizon M.,Schneemann L.,6.280564656734078,10
Johnson J.,Schneemann L.,6.277618993608689,5
